lyrics,mood
"Where was God when I needed a friend?

And where was God when I came to an end?

Where was God when I lost my mind?

Where was God when I can find?

I don't wanna be up or down

Don't wanna be up or down

Don't wanna be up or down

I don't wanna be up or down

Where was love when I felt like hate?

Where was hate when I felt like love?

Where were you

when you said you'd be there?

Where was the fear
when I said I was scared?

I don't wanna be up or down

Don't wanna be up or down

Don't wanna be up or down

I don't wanna be up or down

Tell me what you believe

I'll tell you what you should see

Cause I don't know who to trust

My heart is filled with disgust

I can't take this! no

Tell me what you believe

I'll tell you what you should see

Cause I don't know who to trust

My heart is filled with disgust

Tell me what you believe

Tell me what you believe

Ladies and gentlemen

May I have your attention

Are you ready for the joke

Are you ready for the great deception

Tell me what you believe

Tell me what you believe

Tell me what you believe

Tell me what you believe

Tell me what you believe

Tell me what you believe

",3
"We skipped the light Fandango
Turned cartwheels 'cross the floor
I was feeling kind of seasick
But the crowd called out for more
The room was humming harder
As the ceiling flew away
When we called out for another drink
The waiter brought a tray

And so it was that later
As the Miller told his tale
That a face at first just ghostly
Turned a whiter shade of pale

She said there is no reason
And the truth is plain to see
But I wandered through my playing cards
And would not let her be
One of sixteen vestal virgins
Who were leaving for the coast
And although my eyes were open
They might just as well've been closed

And so it was later
As the Miller told his tale
AThat a face at first just ghostly
Turned a whiter shade of pale

And so it was later
As the Miller told his tale
That a face at first just ghostly
Turned a whiter shade of pale
A whiter shade of pale
Turneda whiter shade of pale
A whiter shade of pale",2
"(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)

Have you heard it on the news
About this fascist groove thang?
Evil men with racist views
Spreading all across the land
Don't just sit there on your ass
Unlock that funky chaindance
Brothers, sisters, shoot your best
We don't need this fascist groove thang

Brothers, sisters
We don't need this 
Brothers, sisters
We don't need the fascist groove thang

History will repeat itself
Crisis point, we're near the hour
Counterforce will do no good
White blue eyes, I feel your power
Hitler proves that funky stuff
It's not for you and me, girl (no, no, no)
Europe's an unhappy land
They've had their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Democrats are out of power
Across that great wide ocean
Reagan's president elect
Fascist God in motion
Generals tell him what to do
Stop your good time dancing
Train their guns on me and you
Fascist thang advancing

Sisters, brothers lend a hand
Increase your population
Grab that groove thang by the throat
And throw it in the ocean

You're real tonight, you move my soul
Let's cruise out of the dance war
Come out your house and dance your dance
Shake that fascist groove thang (shake it)

Brothers, sisters
We don't need that fascist groove thang
Brothers, sisters
We don't need the fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need that fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang",1
"Lo! The darkness has casted in parts.
That thy star has sparked.
Come to the sky and write down signature.
So far thou were imperfect.
Now thou are to be perfect.
Thou shall transgress while doing transgression.
If where there is a will there is a way.
Learn it well.
If there is impossibility so what;
Thou determine it.
 
It is thy turn, get set.
All issues are nothing than thy ambition.
In the lands of thy broken heart;
Yield the fields of courage.
 
Thy mercy is in thy hands.
And thy blood is hot.
Even an arrow shall not miss from the target.
Keep the steps roughly.
 
Thou are a weapon in yourself.
And ready to fight.
Like hitting the nail on the head.
Every of thy ictus.
The destination is a fan of thou.
The God is thy protector.
Do something that even He may question thee.
Bondman, what is your consent?
 
Ward off every darkness of dread.
Thou become power, become fronter.
Prove it wear out to every destination.
Repeat the story of Arjun.
 
Thy ointment shall forbidden.
And the injury shall thy gift.
That is wetted in thy sweat.
That very shall the aspect of victory.
 
Though it is on the floor.
Thy fete is to win.
While separating from every relationship.
Thou transfer yourself for the destination.
This thing shall be discussed.
With everyone's tongues.
How the God has created;
Thy both hands by melding swords.",1
"One day when I came home at lunchtime I heard a funny noise
Went out to the back yard to find out if it was one of those rowdy boys
Stood there with my neighbor called Pete  and a Flux Capacitor
He told me he built a time machine
Like one in a film I've seen
Yeah he said
I've been to the year 3000
Not much has changed but they lived under water
And your great great great grand daughter
Is doing fine (doing fine)
He took me to the future in the flux thing, and I saw everything
Boy bands  and another one and another one and another one
Girls there with round hair like Star Wars float above the floor
We drove around in a time machine
Like the one in the film I've seen
Yeah he said
He said  I've been to the year 3000
Not much has changed but they lived under water
And your great great great grand daughter
Is doing fine (she's doing fine)
I took a trip to the year 3000
This song had gone multi-platinum
Everybody bought our 7th album
It had outsold kelly clarkson
I took a trip to the year 3000
This song had gone multi-platinum
Everybody bought our 7th album

He told me he built a time machine
Like the one in a film I've seen
Yeah
I've been to the year 3000
Not much has changed but they lived under water
And your great great great grand daughter
Is doing fine (doing fine)

He said  I've been to the year 3000
Not much has changed but they lived under water
And your great great great grand daughter
Is doing fine (doing fine).
He said  I've been to the year 3000
Not much has changed but they lived under water
And your great great great grand daughter
Is doing fine (she's doing fine)
He said I've been to the year 3000
Not much has changed but they lived under water
And your great great great grand daughter
Is doing fine ( doing fine)

",1
"I'm goin' home, gonna load my shotgun
Wait by the door and light a cigarette
If he wants a fight well now he's got one
And he ain't seen me crazy yet
He slap my face and he shook me like a rag doll
Don't that sound like a real man
I'm going to show him what a little girls made of
Gunpowder and lead
It's half past ten, another six pack in
And I can feel the rumble like a cold black wind
He pulls in the drive, the gravel flies
He dont know what's waiting here this time
I'm goin' home, gonna load my shotgun
Wait by the door and light a cigarette
If he wants a fight well now he's got one
And he ain't seen me crazy yet
He slap my face and he shook me like a rag doll
Don't that sound like a real man
I'm going to show him what a little girls made of
Gunpowder and lead
His fist is big but my gun's bigger
He'll find out when I pull the trigger
I'm goin' home, gonna load my shotgun
Wait by the door and light a cigarette
If he wants a fight well now he's got one
And he ain't seen me crazy yet
He slap my face and he shook me like a rag doll
Don't that sound like a real man
I'm going to show him what a little girls made of
Gunpowder and lead
",3
"I broke into your house last night 
And left a note at your bedside 
I'm far too shy to speak to you at school 
You leave me numb, and I'm not sure why 

I find it easier to sit and stare 
Than push my limbs out towards you right there 
My heart is bursting in your perfect eyes 
As blue as oceans and as pure as skies 

I struggle for the words and then give up 
My head's up with the birds on the T hut 
A little peace of mind that I know better 
Than the plain disgrace of all my letters 

But after that the floodgates opened up 
And I fell in love with everyone I saw 
Please take your time, I'm not in any rush 
And it's in everything I ever write 

It's not as if I need the extra weight 
Confused enough by life, so thanks a lot 
Lonely written words for company 
Just raise the roof this once and follow me 

I struggle for the words and then give up 
My head's up with the birds on the T hut 
A little peace of mind that I know better 
Than the plain disgrace of all my letters",1
"We're in the building where they make us grow
And I'm frightened by the liquid engineers
Like you

My mallory heart is sure to fail
I could crawl around the floor just like I'm real
Like you

The sound of metal
I want to be
You
I should learn to be a man
Like you

Plug me in and turn me on
Oh, everything is moving here

I need my treatment
It's tomorrow they send me
Singing ""I am an American""
Do you?

Picture this
If I should make the change
I'd love to pull the wires from the wall
Did you?

And who are you?
And how can I try?
Here inside I like the metal
Don't you?",2
"From the black of decieving lies
A new star is born now he brings you to light
With his hands untied

They tried so hard to follow, but no-one cared
Inside you're all so hollow, you understand

Hey, nothing you can say (say),
nothing gonna change what you've done to me
Now it's time to shine (shine),
I'm gonna take what's mine
While you're burning inside my light

I gave and you take
And I waited for you but I made a mistake
It's clear that you're fear is so near me
Because I see the look on you're face

You tried to hold me under, I held my breath
Alone and now you wonder, What I posess

Hey, nothing you can say (say),
nothing's gonna change what you've done to me
Now it's time to shine (shine),
you're gonna burn in my light
Hey, nothing you can say,
nothing's gonna change what you've done to me
Now it's time to shine,
I'm gonna take what's mine
While you're burning inside my light

Hey, (hey) nothing you can say,
nothing's gonna change what you've done to me (hey)
Now it's time to shine,
I'm gonna take what's mine.... take what's mine
Hey, (hey) nothing you can say,
nothing's gonna change what you've done to me (hey)
Now it's time to shine,
I'm gonna take what's mine
You're gonna burn in my light
burn in my light

",3
"I'm bleeding ya
bleeding in ways of the fire burned
I'm crying ya
crying in ways of the nightbird
No more is there one to lay by my side
I'm straying ya
straying in nightmares all the time

A little something I know
A little somewhere I go
reminds me of you

To blossom blue,
is to blossom without you
To blossom blue,
I'm breaking breaking but I cannot bear to
I'm staring staring but I cannot see you
For no more are you to lay by my side
I'm weeping no more then this second time

A little something I know
A little somewhere I go
Where the sweet waters flow, reminds me of you

A little something I know
A little somewhere I go
Where the sweet waters flow
Where the mistletoes grow,
reminds me of you

To blossom blue,
 is to blossom without you
",2
"X and Y
The land, sea, rivers, trees, the stars, the sky
That and this
We're part of a bigger plan
Don't know what it is
Don't know what it is

You and me
The land, sun, trees, the sky, the stars, the sea
365 degrees
I am a puzzle, you're the missing piece
Hang on a minute, just a minute, please
I'll come
And everything under the sun
And everything under the sun

What is this feeling that I can't explain?
And why am I never gonna sleep again?
What is this thing I've never seen before?
A little boy lost in a breaking storm
Pilots up and away they fly
To write your name in the summer sky
Life has really only just begun
Life that comes
And everything under the sun

X is Y
The land, sea, rivers, trees, the stars, the sky
365 degrees
All of the surface and the underneath
Searching your mellow and outsings your key, ah
And everything under the sun
And everything under the sun

What is this feeling that I can't explain?
And why am I never gonna sleep again?
What is this thing I've never seen before?
A little boy lost in a breaking storm
Pilots up and away they fly
To write your name in the summer sky
Life has really only just begun
Life that comes
And everything under the sun

And you don't know that you've been born
Can't see the calm until the storm
Can't tell your right side from your wrong
Can't see the wave you're riding on",4
"I don't know where I'm at
I'm standing at the back
And I'm tired this waiting
Waiting here in life
Hoping that I'll find
What I've been chasing

I shot for the sky
I'm stuck on the ground
So why do I try
I know I'm gonna fall down
I thought I could fly
So why did I drown
Never know why
It's coming down, down, down

I'm not ready to let go
'Cause then I'd never know
What I could be missing
But I'm missing way too much
So when do I give up
What I've been wishing for

I shot for the sky
I'm stuck on the ground
So why do I try
I know I'm gonna fall down
I thought I could fly
So why did I drown
Never know why
It's coming down, down, down

Oh I'm going down, down, down
I can't find another way around
And I don't wanna hear that sound
Of losing what I never found

I shot for the sky
I'm stuck on the ground
So why do I try
I know I'm gonna fall down
I thought I could fly
So why did I drown
I'll never know why
It's coming down, down, down

I shot for the sky
I'm stuck on the ground
So why do I try
I know I'm gonna fall down
I thought I could fly
So why did I drown
Oh, it's coming down, down, down

",2
"How do I let you know
I am anxious without you x2
You dont understand my love
I do wait for you
You're my heart and my soul
 
How do I let you know
I am anxious without you
You dont understand my love
I do wait for you
You're my heart and my soul
How do I let you know
I am anxious without you
 
My heart has taken
The path your heart took
When you walk beside me
My breath walks along too
My life.. hey
Is yours now, what shall I do now?
Believe me
I do wait for you
You're my heart and my soul
How do I let you know
I am anxious without you
 
You didn't do good, love x2
By breaking my heart
My eyes regret now x2
By linking with you
 
Where do I go after leaving you
You're my shadow
In your face I see
My God
My prayers.. ohh
Thinking of you always
Hear my acceptance
I do wait for you
You're my heart and my soul
 
How do I let you know
I feel anxious without you",2
"So it's Halloween
And you feel like dancing
And you feel like shining
And you feel like letting loose 

What ya gonna be?
Babe, you better know
And you better plan
Better plan all day

Better plan all week, better plan all month
Better plan all year

You're dressed up like a clown
Putting on your act
It's the only time all year
You'll ever admit that

I can see your eyes, I can see your brain
Baby, nothing's changed
I can see your eyes, I can see your brain
Baby, nothing's changed

Because you're hiding in a mask
You take your fun seriously
No, don't blow this year's chance
Tomorrow your mold goes back on

After Halloween 
After Halloween

You go to work today
You'll go to work tomorrow
Shitfaced tonight
You'll brag about it for months

Remember what I did, remember what I was
Back on Halloween?

But what's in between?
Where are your ideas?
You sit around and dream
For next Halloween

Why not every day, are you so afraid
What will people say?
Why not every day, are you so afraid
What will people say?

After Halloween
After Halloween
After Halloween

Because your role is planned for you
There's nothing you can do
But stop and think it through

But what will the boss say to you?
And what will your girlfriend say to you?
And the people out on the street, they might glare at you
And what do you know, you're pretty self-conscious too 

So you run back and stuff yourselves in rigid business costumes
Only at night to score is your leather uniform exhumed
Why don't you take your social regulations and shove 'em up your ass?
Why don't you take your social regulations and shove 'em up your ass?

Why don't you take your social regulations and shove 'em up your ass?",3
"I think we have an emergency
I think we have an emergency
If you thought I'd leave, then you were wrong
'Cause I won't stop holding on

So are you listening?
So are you watching me?
If you thought I'd leave, then you were wrong
'Cause I won't stop holding on

This is an emergency
So are you listening?
And I can't pretend that I don't see this
But it's really not your fault
That no one cares to talk about it, to talk about it

'Cause I've seen love die way too many times
When it deserved to be alive (when it deserved to be alive)
And I've seen you cry way too many times
When you deserved to be alive, alive

So you give up every chance you get
Just to feel new again

I think we have an emergency
I think we have an emergency
And you do your best to show me love
But you don't know what love is

So are you listening?
So are you watching me?
Well, I can't pretend that I don't see this
But it's really not your fault
That no one cares to talk about it, to talk about it

'Cause I've seen love die way too many times
When it deserved to be alive (when it deserved to be alive)
And I've seen you cry way too many times
When you deserved to be alive, alive

The scars, they will not fade away

And no one cares to talk about it, to talk about it

'Cause I've seen love die way too many times
When it deserved to be alive (when it deserved to be alive)
And I've seen you cry way too many times
When you deserved to be alive, alive",2
"And I...

Darlin' I, I can't explain
Where did we lose our way
Girl it's drivin' me insane
And I know I just need one more chance
To prove my love to you
If you come back to me
I'll guarantee
That I'll never let you go

Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again, until you come back to me
I'm down on bended knee

So many nights I dream of you
Holding my pillow tight
I know that I don't need to be alone
When I open up my eyes
To face reality
Every moment without you
It seems like eternity
I'm begging you, begging you come back to me


Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again, until you come back to me
I'm down on bended knee

Baby, I'm sorry.
Please forgive me for all the wrong I've done.
Please come back home girl.
I know you put all your trust
In me, I'm sorry I let you down.
Please forgive me girl.

I'm gonna swallow my pride
Say I'm sorry
Stop pointing fingers, the blame is on me
I want a new life
And I want it with you
If you feel the same
Don't ever let it go
You gotta believe, in the spirit of love
It can heal all things
We won't hurt any more
No I don't believe our love's terminal
I'm down on my knees, begging you please
Come home


Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee

Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again, until you come back to me
I'm down on bended knee",2
"will you come in...
I've been awake for a while now
you've got me feelin like a child now
cause every time i see your bubbly face
i get the tinglies in a silly place
It starts in my toes
then i crinkle my nose
where ever it goes i always know
that you make me smile
please stay for a while now
just take your time
where ever you go

The rain is fallin on my window pane
but we are hidin in a safer place
under the covers stayin safe and warm
you give me feelins that i adore
It starts in my toes
makes me crinkle my nose
where ever it goes i always know
that you make me smile
please stay for a while now
just take your time
where ever you go

What am i gonna say

when you make me feel this way
I just........mmmmmmmmmmm
It starts in my toes
makes me crinkle my nose
where ever it goes i always know
that you make me smile
please stay for a while now
just take your time
where ever you go

I've been asleep for a while now
You tucked me in just like a child now
Cause every time you hold me in your arms
Im comfortable enough to feel your warmth
It starts in my soul
And I lose all control
When you kiss my nose
The feelin shows
Cause you make me smile
Baby just take your time
Holdin me tight

Where ever, where ever, where ever you go
Where ever, where ever, where ever you go...

where ever you go... i always know
cause you make me smile in just for a while
",1
"Cold, cold water surrounds me now
And all I've got is your hand
Lord, can you hear me now?
Lord, can you hear me now?
Lord, can you hear me now?
Or am I lost?

Love one's daughter
Allow me that
And I can't let go of your hand
Lord, can you hear me now?
Lord, can you hear me now?
Lord, can you hear me now?
Or am I lost?
Cold, cold water surrounds me now
And all I've got is your hand
Lord, can you hear me now?
Lord, can you hear me now?
Lord, can you hear me now?
Or am I lost?
",4
"The world as I see it, is a remarkable place
A beautiful house in a forest, of stars in outer space.
From a birds eye view, I can see it has a well-rounded personality
From a birds eye view, I can see we are family.

It's not hard for me to love you Hard for me to love you
No it's not a difficult thing.
It's not hard for me to love you Hard for me to love you
Because you are the world to me.

Yeah the world as I see it, is a remarkable place
Every man makes a difference And every mothers child is a saint
From a birds eye view I can see, we are spiralling down in gravity
From a birds eye view I can see, you are just like me.

It's not hard for me to love you Hard for me to love you
No it's not a difficult thing.
It's not hard for me to love you
Oh I really love you Unconditionally.

No it's not hard for me to love you Hard for me to love you
No it's not a difficult thing.
It's not hard for me to love you Oh I really love you
Love you are the world to me.

You are the mountain, you are the rock
You are the cord and you're the spark
You are the eagle, you are the lark
You are the world and you're remarkable
You're the ocean eating the shore
You are the calm inside the storm
You're every emotion, you can endure
You are the world, the world is yours.

(It's not hard for me to love you Hard for me to love you
No it's not a difficult thing.
It's not hard for me to love you Hard for me to love you Unconditionally)

No it's not hard for me to love you Hard for me to love you
No it's not a difficult thing.
It's not hard for me to love you Hard for me to love you
Because you are the world to me.

No it's not hard for me to love you Hard for me to love you
No it's not a difficult thing.
It's not hard for me to love you Hard for me to love you
Because you are the world to me.
Yeah the world as I see it, is a remarkable place
",2
"Here comes the sun, here comes the sun,
and I say, it's all right.
Little darling, it's been a long cold lonely winter.
Little darling, it feels like years since it's been here.
Here comes the sun, here comes the sun,
and I say, it's all right.
Little darling, the smiles returning to the faces.
Little darling, it seems like years since it's been here.
Here comes the sun, here comes the sun,
and I say, it's all right.
Sun, sun, sun, here it comes...
Sun, sun, sun, here it comes...
Sun, sun, sun, here it comes...
Sun, sun, sun, here it comes...
Sun, sun, sun, here it comes...
Little darling, I feel that ice is slowly melting.
Little darling, it seems like years since it's been clear.
Here comes the sun, here comes the sun,
and I say, it's all right.
Here comes the sun, here comes the sun.
It's all right.
It's all right.
",1
"Are you going to Scarborough Fair
Parsley, sage, rosemary and thyme
Remember me to one who lives there
She once was a true love of mine
Tell her to make me a cambric shirt
Parsley, sage, rosemary and thyme
Without no seams nor needless work
Then she'll be a true love of mine
Tell her to find me on acre of land
Parsley, sage, rosemary and thyme

Between the salt water and the sea strand
Then she'll be a true love of mine

Tell her to reap it with a sickle of leather
Parsley, sage, rosemary and thyme
And gather it all in a bunch of heather
Then she'll be a true love of mine
Are you going to Scarborough Fair
Parsley, sage, rosemary and thyme
Remember me to one who lives there
She once was a true love of mine

",4
"Listen when I say, when I say it's real
Real life goes undefined, why must you be so missable?
Everything you take makes me more unreal
Real lines are undefined, how can this be so miserable?

Under the summer rain
I burned away
Under the summer rain, burn
You turned away

Listen, I can't make, make a sound or feel
Feel fine, I kissed the lies, why must they be so kissable?
Listen as I break, break the fourth wall's seal
Gorgeous eyes shine suicide, when will we be invisible?

Under the summer rain
I burned away
Under the summer rain, burn
We burned away

Under the summer rain
I burned away
Under the summer rain, burn
You turned away

This is the fall, this is the long way down
And our lives look smaller now, and our lives look so small
This is the fall, this is the long way down
And our lives look smaller now, and our lives look so small

Under the summer rain
I burned away
Under the summer rain, burn
We burned away

Under the summer rain, burn
I burned away
Under the summer rain, burn
You turned away",2
"Please accept
 
This is too much!
What have you done?
My heart barely felt anything
You've revived it1
 
I used to love her
She was in my class
She was always angry with me
She never paid me any attention
She used to ignore me
Can't you see he's in love with you?
Say I do I do I do
Sister, say yes
Say yes, say yes
Say yes, say yes, say yes
Please accept
With your words and eyes
Please accept
Either shyly or nervously
Please accept
With just a slight hint
 
Please accept
He's a good boy
He has a good heart
If you tell him to take seven circumambulations,2
He will be ready to take even more.
 
Just listen, will you?
Once a moment's gone, it's gone
Oh come on now
Don't let this moment slip
 
I love you
I'm ready to lay down my life for you
If you agree,
I'll come
With a ring for you
 
He's so handsome, he's a dude
Say i do i do i do
Sister you can't refuse now
It'll be a disaster if you do
Don't turn down his offer of marriage
 
Please accept
This is a beautiful moment
Please accept
This honor bestowed by an honorable man
Please accept
This lifelong wish
Please accept
He has a sweet voice
He looks cute too3
Tie him real tight to you,
If the knot loosens.
 
Yes, this is an intimate union
Yes, this is an auspicious moment
Whatever you like is what I'll like
If you wish for long nights
I'll shorten the days
 
Girl he's too good to be true
Say I do I do I do
 
Come on sis, say yes
Even the kids are asking you
Don't let this auspicious moment pass
 
Please do accept
Please accept
This is what's best for you
Please accept
This is your destiny
Please accept
What is supposed to happen, will happen
Please accept",1
"Come on make a move on me

Come on make a move on me

Come on make a move on me

Come on make a move on me now boy

I've been watching you watching me

What you gonna do?

Let's stop playing these silly games

Do what you gonna do

Oh you gotta

Feel me, heal me chase me chase me

Move me sooth me tease me

Leave me, trim me, grim me

Grill me feel me take me make me

Leave me leave me

Come on make a move on me

Make a move on me

Come on make a move on me

Come on make a move on me

Oh make a move on me

Come on make a move on me now boy

Come on make a move on me

Oh baby

Come on make a move on me

Oh make a move on me

Make a move on me

Come on make a move on me

Make a move on me

Come on make a move

Come on make a move

Come on make a move

Come on make a move

I promise you I won't bite

Unless you want me to

(Unless you want me to baby)

I'll make love to you all through the night

If you want me to

(Ah do you need it?)

Come on and feel me, heel me chase me chase me

Move me sooth me tease me

Leave me, trim me, grim me

Grill me feel me take me make me

Leave me leave me

Come on make a move on me

Come on make a move on me

Baby make a move on me

Come on make a move on me

Come on make a move on me now boy

Right now right now

Come on make a move

Come make a move on me

Come on make a move

Come make a move on me

Come on make a move",1
"I have found You and I have lost myself
Even if I want to speak, I don't know what to I say
I have found You and I have lost myself
Even if I want to speak, I don't know what to I say
 
There is no language in which there are those words
Which I use to completely describe what I feel for You
 
If I say that there is no one more beautiful
Than You are in this whole universe
This praise is just nothing, compared to the whole truth
I have found You and I have lost myself
 
Your playfulness which is immersed in Your grace
Is shown on Your face
The thick clouds of Your hair
Are resting on Your face with pride
This flowing scarf is just like a moving cloud
In Your arms, there is beauty like the moonlight
Beauty of the moonlight
 
If I say that this feeling of captivity (attraction)
Was never anywhere, nor will be there ever
This praise is just nothing, compared to the whole truth
I have found You and I have lost myself
 
You have been generous
That's why there is this love story
Now both Yours and mine paths are the same
Wherever You'll go, I'll be there
 
If I say that, Soul-mate of mine
You are an angel from heaven or a fairy
This praise is just nothing, compared to the whole truth
 
I have found You and I have lost myself
Even if I want to speak, I don't know what to I say
There is no language in which there are those words
Which I use to completely describe what I feel for You
 
If I say that there is no one more beautiful
Than You are in this whole universe
This praise is just nothing, compared to the whole truth
I have found You and I have lost myself",4
"Forget the girl she'll only make you sad someday

Forget that girl she'll never make you happy
Stay away from her my friend
Stay away from her

Forget that girl she'll only bring you down again

Forget that girl she'll only make you lonely

Stay away from her my friend
Stay away from her

There was a time when she could really love you

When she was thinking only of you

But now she's thrown herself above you
And there's nothing you can do

Forget that girl even though you find it's hard

Forget that girl even though you love her

She's in love with him my friend

She's in love with him oh yeah
She's in love with him him

Forget that girl
（Forget that girl）

Forget that girl
（Forget that girl）
Forget that girl
（Forget that girl）
Forget that girl
（Forget that girl）
Forget that girl
（Forget that girl）
Forget that girl
（Forget that girl）
Forget that girl
",1
