,file,artist,title,lyrics,tags,mood
41,TRABNEX128F92C9DEA.h5,Kings Of Leon,Knocked Up,"I don't care what nobody says, we're gonna have a baby
Taking off in a Coupe de Ville, she's buckled up on navy
She don't care what her momma says, no, she's gonna have my baby
I'm taking all I have to take 'cause taking's gonna shape me

People call us renegades 'cause we like living crazy
We like taking on the town because people's getting lazy
I don't care what nobody says, no, I'm gonna be her lover
Always mad and usually drunk, but I love her like no other

And the doctor seems to say he don't know
Where we're gonna go
I'm a ghost and I don't think I quite know
Where we're gonna go
Where we're gonna go

People call us renegades 'cause we like living crazy
We like taking on this town 'cause people's getting lazy
I don't care what nobody says, no, I'm going to be her lover
Always mad and usually drunk, but I love her like no other

And her daddy seems to say he don't know
Where we're gonna go
I'm a ghost and I don't think I quite know
Where we're gonna go
Where we're gonna go
Where we're gonna go
Where we're gonna go
Where we're gonna

People call us renegades
We like taking on this town

I don't care what nobody says, we're gonna have a baby
Taking off in a Coupe de Ville, she's buckled up on navy
She don't care what her momma says, no, she's gonna have my baby
I'm taking all I have to take 'cause taking's gonna shape me","['rock', 'indie rock', 'indie', 'Southern Rock', 'kings of leon', 'alternative rock', 'alternative', 'american', '00s', 'seen live', 'Garage Rock', 'beautiful', 'Mellow', 'Love', '2007', 'Awesome', 'male vocalists', 'lovedbygdchill', 'chill', 'favorites', 'Driving', 'Favorite', 'Alternative  Punk', 'amazing', 'best album openers', 'Tennessee', 'Alternative Country-Rock', 'catchy', 'blues rock', 'country rock', 'Favourites', 'love at first listen', 'i fucking love this song', 'infectious', 'foot-tapping', 'kol', 'have to see live', 'Song for rainy day', 'epic', 'guitar', 'cool', 'male vocalist', 'great songs', 'best of 2007', 'wake up', '<3', 'great guitar', 'Soundtrack Of My Life', 'oh how i love this song', 'knocked up', 'naturally', 'chillout', 'pop', 'punk', 'hard rock', 'USA', 'post-punk', 'bass', 'atmospheric', 'melancholy', 'my love', 'Indie-Rock', 'good', 'Rock and Roll', 'Nashville', 'relax', 'alt rock', 'Love it', 'us', 'Kings', 'southern', 'best songs ever', 'tantotempotaste', 'american trad rock', 'songs that make you shit your pants in a good way', 'leapsandloved', 'what would jesus listen to', 'male lead singers with sexy voices', 'takes me there', 'SADNESS AND THE CITY', 'Kings Of Leon - Knocked Up', 'im gonna be her lover']",2
77,TRAESWB128F149CB2C.h5,Dexys Midnight Runners,Until I Believe In My Soul,"I'll need tonight to sit and think about this
Think what to do.
I'll take some strength to banish hollow sorrow.
Hollow sorrow's nothing new.
Just enough strength to last until tomorrow
Until I believe in my soul.
Tonight I lost sight of all purpose
Despite all this trickery you told me was right.
I was such a good boy I let you hold the door
So kind, so nice, where's my prize?
(That's all there ever is) Oh yeah yeah yeah?
(That's all there ever was) Ah you must be fucking joking.
(The same for everyone) Oh yes. Yes yes.
Would you repeat that. Break it to me gently,
Stand over there.
Oh I know I was an arrogant boy but I let you hold the door
Oh I was kind. I was nice, where's the prize?
And I'm on the train from New Street
To Euston. I'm going out to Harrow again
And I'm trying to get the feeling
That I had in nineteen seventy two.
Oh but you're going too fast for me here,
I'm saying, wait a minute there, wait a minute there
Hold it, stop! Let me get this clear
(That's all there ever is) oh yeah yeah yeah?
(That's all there ever was) yes, yes. ha ha ha.
(The same for everyone) Oh yes. yes. yes.
You see I know what this is, I know
What's going on here, this is just the difference between ...
It's the battle between the body and the soul. The spirit
And what's needed here...
What I intend to do now is I'm going to punish my body.
I'll punish the body to believe in the soul, I will punish
My body, until I believe in my soul.","['80s', 'soul', 'british', 'Blue-Eyed Soul', 'new wave', 'post-punk', 'angst', 'Seederman Top Pick', 'cooper was here', 'Falseto bacano']",3
86,TRAKQXJ128F147A028.h5,AFI,Summer Shudder,"Listen when I say, when I say it's real
Real life goes undefined, why must you be so missable?
Everything you take makes me more unreal
Real lines are undefined, how can this be so miserable?

Under the summer rain
I burned away
Under the summer rain, burn
You turned away

Listen, I can't make, make a sound or feel
Feel fine, I kissed the lies, why must they be so kissable?
Listen as I break, break the fourth wall's seal
Gorgeous eyes shine suicide, when will we be invisible?

Under the summer rain
I burned away
Under the summer rain, burn
We burned away

Under the summer rain
I burned away
Under the summer rain, burn
You turned away

This is the fall, this is the long way down
And our lives look smaller now, and our lives look so small
This is the fall, this is the long way down
And our lives look smaller now, and our lives look so small

Under the summer rain
I burned away
Under the summer rain, burn
We burned away

Under the summer rain, burn
I burned away
Under the summer rain, burn
You turned away","['punk rock', 'rock', 'punk', 'emo', 'AFI', 'alternative', 'alternative rock', 'post-hardcore', 'hardcore punk', 'metal', 'favorites', 'Awesome', 'melancholy', 'Gothic Rock', 'seen live', 'Love', 'beautiful', 'goth', 'catchy', 'Gothic', 'Love it', 'madden', 'decemberunderground', 'favorite songs', 'american', 'heard on Pandora', 'Pop-punk', '00s', 'emocore', 'summer songs', 'goth punk', 'this is not emo', 'Summer Shudder', 'chill', 'Favorite Bands', 'sexy', 'sad', 'hard rock', 'USA', 'memories', 'power', 'cute', 'epic', 'Fusion', 'post-punk', 'winter', 'pop punk', 'screamo', 'my love', 'Favorite Artists', 'amazing', 'nostalgic', 'Gothic Metal', 'California', 'intense', 'f', 'cool', 'hot', 'depression', 'Favorite', 'alt rock', 'poignant', '2006', '8 of 10 stars', 'listen again', 'electric rhythm guitars', 'minor key tonality', 'awesomeness', '<3', 'hott', 'goth rock', 'the best', '5 Star', 'Horrorpunk', 'Punk Revival', 'Godlike', 'Subtle Use of Vocal Harmony', 'Vocal-Centric Aesthetic', 'Love this song', 'Sonata Arctica', 'genial', 'songs I absolutely love', 'glamcore', 'Miss Murder', 'emo punk', 'complete shit', 'emo crap', 'Tracks Heard Live', 'amped', 'pop rock qualities', 'subtle use of strings', 'sexy singers', 'affliction', 'saw them', 'Madden 2007', 'Madden 07', 'mood-driven', 'fuck yeah rock', 'Lieblingsband', 'punkd']",2
125,TRAYYIN12903CAD8C6.h5,K-OS,Man I Used To Be,"I tried it, I couldn't find it
Now I just wanna get back to me
Oh baby, hoo hoo
Back into the man I used to be

Things that I said I wouldn't do, I did 'em
Secrets below the service of truth I hid 'em
This man kind is past, but can he erase
The tears of a million years is human race
Of animals, that talk and walk upright
Then slave all day and fall in a trance at night
Flowing the planet, trying to find missing links
Like the men we used to be and always suppose to think
Mysteries, maybe not
It's getting hot, we better configure the plot, but
I hold a pen with the grip so tight
That'a squeeze the ink out'ta the page, and write a song for the people
Came up from the underground, now I write above on a hovercraft sound
This microphone, like an an amphetamine
Keeping me clean, speaking in dreams
So nature can intervene, just for a scene

I tried it, I couldn't find it
Now I just wanna get back to me
Oh baby, hoo hoo
Back into the man I used to be

I walk along this path alone, my feet hurt
Lost some friends along the way, I did dirt
I went to church, I tried everything
From leaving my body, to watching the birds sing
For hours, so I could feel heavenly powers
Had been across the universe and inside of flowers
But what is it worth, I'm still just a man on the earth
Rappers are acting like man tan
Can I be candid, I can't stand it
Rap bandit, got heaven acting frantic
I wanna swing my sword decapitate
But what is a man if he acts like an ape
So I sit back, planning my great escape
Load up my EPS and peruse my record crate
The man I used to be, I can only see by looking beyond me
So what is reality, I don't know

I tried it, I couldn't find it
Now I just wanna get back to me
Oh baby, hoo hoo
Back into the man I used to be

Wrong song
You know what
I woke up in the morning
I took a trip to the corner store
That's when I heard my calling
But I'd never heard the voice of truth before
So I kept on walking
Pretended I didn't see
Walked by a window and my reflection said to me
You could try all the same
But you'll never know this mystery
There's no pilot on your plane
So you're not the man you used to be
Try all the game, but you'll never know this mystery
When your pilot has no plane
Said you're the man you used to be seen
Holla and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Yo, microphones get ripped holding us back
K dash rocking it out, rocking the cold style
Making it up, go along singing my song
Woke up, in the early morn didn't know what was going on
Whatever, I don't really know
Flows like an immaculate goat what up, whatever","['Hip-Hop', 'Canadian', 'hip hop', 'k-os', 'rap', 'pop', 'hiphop', 'brilliant', 'chill', '00s', 'Rap  Hip-Hop', 'damn this is an overly good track heck it cant be legal to make such a good track its just amazing', 'Soundtrack', 'chillout', 'trip-hop', 'indie', 'soul', 'female vocalists', 'downtempo', 'singer-songwriter', 'canada', 'funk', 'groove', 'melancholy', 'rnb', 'poetic', 'i am a party girl here is my soundtrack', '2005', 'underground', 'FUCKING AWESOME', 'chillin', 'track of da week', 'radio-andree', 'sing along', 'dance party', 'overplayed', 'my mix', 'Greatest Songs', 'Ion B radio', 'My Radio', 'good hiphop', 'All time favourite', 'floetry', 'my life soundtrack', 'b-boy stance', 'hip hop head', 'feeling funky', 'politically conscious', 'nice track', 'electronic-lounge', 'Favoris', 'm singer-songwriter', 'Music Artists I love', 'music to play at my funeral', 'stumbledupon', 'shit i adore', 'my hot list', 'best of 04', 'walkman music', 'Tyler Adam', 'star gazer', 'my hip hop', 'new2', 'star gazer genre', 'christophers radio', 'songs with big influence on me', 'das gewisse etwas', 'Vitamin M', 'du und ich', 'k os', 'williamhopkins', 'adidas BOUNCE']",2
126,TRAKHYP128E0792F07.h5,Patty Griffin,Moses,"Diamonds, roses I need Moses
To cross this sea of loneliness, part this red river of pain
I don't necessarily buy any key to the future or happiness
But I need a little place in the sun sometimes or I think I will die

But everywhere is somewhere and nowhere is near
Everybody got somebody with their wine and their beer
So I'm just this tragic figure in the corner over here
With an empty apartment and a best friend who is a queer

Every time I see him he smiles 
And tells me how well he is walking these miles
But he never ever asks a single thing about me
If I die he'd hear about it eventually

Diamonds, roses I need Moses
To cross this sea of loneliness, part this red river of pain

An everywhere is somewhere and nowhere is near
Everybody got somebody with their wine and their beer
So I'm just this tragic figure in the corner over here
Go home to an empty apartment and call a best friend who is queer

Diamonds, roses, I need Moses
To cross this sea of loneliness, part this red river of pain
To cross this sea of loneliness, part this red river of pain
To cross this sea of loneliness, part this red river of pain, of pain","['female vocalists', 'folk', 'acoustic', 'Alt-country', 'singer-songwriter', 'beautiful', 'guitar', 'Mellow', 'melancholy', 'Favorite', 'repeat', 'female', 'rock', 'alternative', 'favorites', 'contemporary folk', 'americana', 'longing', 'peaceful', 'water', 'pretty', 'relaxing', 'intimate', 'quiet', 'female vocalist', 'alt country', 'singer songwriter', 'lonely', 'Favourites', 'lovely', 'vocalist', 'angst', 'girl power', 'to get', 'grace', 'Angelic Voices', 'alt singer songwriter', 'my life soundtrack', '131', 'forUndin', 'contemporary singer songwriter', 'banuianthem', 'a brief history of banui', 'Impeccable Singer-Songwrtiers', 'apluscoop', '5 times or less', 'mindy', 'girlie nostalgic']",2
130,TRARUOP12903CF2384.h5,Shadows Fall,What Drives The Weak,"This time released security
Controlled dose of tranquility
Forgetfulness washes over me
Put to rest the voices of insanity

Only the cinders remain
As another night
Becomes a yesterday

Come on! Anesthetize the panic
It is what drives the weak
You're gone! Anesthetize the panic
Putting all uncertainties to sleep

Not an altered state of mind
But a safer place in an unsafe world
Within the nearness of death
Rapture in the skip of a heartbeat

Only the cinders remain
As another night
Becomes a yesterday

Come on! Anesthetize the panic
It is what drives the weak
You're gone! Anesthetize the panic
Putting all uncertainties to sleep

To Sleep!
To Sleep!

Come on! Anesthetize the panic
It is what drives the weak
You're gone! Anesthetize the panic
Putting all uncertainties to sleep

Anesthetize the panic
It is what drives the weak","['metalcore', 'metal', 'thrash metal', 'heavy metal', 'Shadows Fall', 'Melodic Death Metal', 'death metal', 'Soundtrack', 'rock', 'hard rock', 'nice solo', 'seen live', 'alternative', 'heavy', 'favorites', 'epic', 'melodic', '2004', 'american', 'great', 'christian rock', 'aggressive', 'cool', 'heard on Pandora', '00s', 'brilliant', 'Masterpiece', 'wrif-fm', 'melodic metalcore', 'greatest songs ever', 'Preferidas', 'bastards from hell', 'melodic gothencore', 'Fav Traxs of All Time', 'dying planet', '1st luv', 'What drives the weak', 'LordIan', 'LampOfGod-The War within', 'final fight streetwise']",3
140,TRBEFFG128E0793C24.h5,Monster Magnet,Black Celebration,"Let's have a black celebration
A black celebration
Tonight

To celebrate the fact
That we've seen the back
Of another black day

I look to you
How you carry on
When all hope is gone
Can't you see

Your optimistic eyes
Seem like paradise
To someone like me

I want to take you in my arms
Forgetting all I couldn't do today

Black celebration
Black celebration
Tonight, yeah

To celebrate the fact
That we've seen the back
Of another black day

I look to you
And your strong belief
Me, I want relief
Tonight

Consolation
I want so much
I want to feel your touch
Tonight, yeah

Take me in your arms
Forgetting all you didn't do today

Black celebration
(I'll drink to that)
Black celebration
Tonight

(Black celebration)
Black celebration
Tonight, yeah yeah yeah
(I'll drink to that)
Black celebration
Tonight","['covers', 'rock', 'pop', 'alternative', 'alternative rock', 'cover songs', 'depeche mode covers', 'classic rock', 'metal', 'chillout', 'indie', 'punk', 'indie rock', 'Progressive rock', 'industrial', 'new wave', 'cover', '90s', 'funky', '1998', 'alternative metal', 'synthpop', 'Rock and Roll', 'rock n roll', 'own', 'Punk-Rock', 'Monster Magnet', 'cover project', 'tb3', 'vampiro', 'grimdorf', '77 bpm', 'DM Cover']",4
142,TRBAJRL128F1482E66.h5,The Summer Obsession,Where You Belong,"Don't say another word,
Put my finger to your lips and press
(And press)

God is not watching us,
(Watching us)
We can do whatever we want
So let's,
So let's.
It's been so long, so long
It's been so long, been so long
Stop your resistance, this is where you belong.

This is where you belong.

It's been so long, so long
It's been so long, it's been so long,
Stop your resistance, this is where you belong.

This is where you belong.

This is where you belong.

Stop your resistance, this is where you belong.

(This is, this is where you belong.)","['chill', 'punk', 'power pop', 'Love', 'Reflective', 'punk rock', 'pop punk', 'pop', 'alternative', 'emo', 'dance', 'catchy', 'romantic', 'Awesome', 'Driving', 'upbeat', 'Mellow', 'jacksonville', 'Sentimental', 'really good', 'geek pop', 'total emo', 'Alter-Native', 'The Summber Obsession- Where you Belong']",1
151,TRBDDKF128F426BF7B.h5,Fleet Foxes,English House,"You go with your two feet bare
Down through the cold lane there to Brighton
A country house, a liar and a louse live there

And go with your arms held wide
Happiness in your eyes, come and sit
And stay the night, turn out every light you see
And lay them down, buried in the ground for me

Oh, my love
Oh, my love
Oh, my love
Oh, my love

The tongues of the creatures wait
Drawn to the fragile legs you walk on
A cold wind blows, Brighton to the coast for me
A cold wind blows, Brighton to the coast for me

Oh, my love
Oh, my love
Oh, my love
Oh, my love

Oh, my love
Oh, my love
Oh, my love
Oh, my love","['folk', 'indie', 'alternative', 'indie rock', 'beautiful', 'fleet foxes', 'american', 'americana', 'seattle', '2008', 'acoustic', 'fun', '00s', 'Love', 'epic', 'atmospheric', 'summer', 'folk rock', 'brilliant', 'lovely', 'Perfection', 'seen live', 'baroque', 'chill', 'rock', '80s', 'alternative rock', 'ambient', 'USA', 'favorites', 'happy', 'Lo-Fi', 'Awesome', 'Alt-country', 'melancholy', 'freak folk', 'fip', 'indie folk', 'loved', 'male vocalist', 'male vocalists', 'female vocalist', 'harmony', 'Favorite', 'ruhig', 'yes', 'I like this', '2000s', 'personal favourites', 'as good as it gets', 'all the best', 'best songs of the 00s', 'Excellent tune', 'subpop', 'repeatrepeatrepeat', 'Good Stuff', 'nocturnal', 'makes me happy', 'REVOLUTIONARY', 'murder', 'joy', 'essential', 'to buy', 'Into the Wild', 'Great Band', 'cruise', 'song of the moment', 'beloved', 'somafm', 'baroque harmonic pop', 'rambo theme song', '2008 favorite', 'unwinds the knots of my mind', 'sunny day songs', 'goodlyrics', 'americain', 'Bagel', 'anytime', 'moje', 'trackstolistenagain', 'so sweet', 'far eastern', 'check em out', 'summer08', 'summer08thesarahshow', 'summerheresummerthere', 'marcela', 'kamp', 'heartache-y', 'exuberant folk', 'do do do', 'q3', 'hear the singer soaring--smell the sweetgrass burning', 'idioteque', 'FOTMP', 'english house', 'my kind of nice', 'thank you david', 'Shut Up And Drive', 'songs that get underneath my skin']",1
180,TRAWOHD128F148D176.h5,Rickie Lee Jones,Away From The Sky,"For all that it cost him
He never did complain
The chicken-headed man
Feathering the rain

But the last bus is tired
And everybody's gone
The horses are waiting
In the middle of the lawn

Gone for the rodeo
Gone from the tundra, gal
It's after the fair
Is it bleeding out of you?

""Come into my trailer
We'll toast a little bread
Oh look, you've left a hole
Where you laid on my bed""
He said

But you keep what you can keep
When you dive into the deep
There's year after frozen year
That's where I saved you there

Oh, away from the sky X4

But everybody's gone now
It's after the fair
And the horses are painted
With the waiting of the lawn

You turn the carousel on
When th elights have closed down
And watch your ponies run
Through the middle of town

So there ya go, little gal, there ya go
Gone from the tundra now
It's after the fair
That's where I ...

Over the fences again
And the vacuums in the hall
And the planes up in the air
That's where I hear you best

Oh, away from the sky X4","['female vocalists', 'ricky lee jones', 'folkrock', 'chillout', 'jazz', 'pop', 'folk', 'downtempo', 'Ballad', '1990s', '1989', 'the word sky', 'female jazz vocalist', 'Vocal Pop', 'art for arts sake', 'r-lee-jones', 'the word away', 'the word from', 'michael boddicker', 'dean parks', 'acoust', 'Atlas Marker', 'flying cowboys', 'away from the sky', 'beautiful backvoices', 'RLeeJones']",4
